,IP,ASN
15263,12.107.229.0,INGRAMBARGE-1 - INGRAM BARGE COMPANY
15276,12.108.74.0,LANERMC - Lane Regional Medical Center
15292,12.108.254.0,"YKK-USA - YKK USA,INC"
15299,12.109.75.0,"BIGLOTS-HQ - Big Lots Stores, Inc."
15301,12.109.79.0,ASCENSIONHEALTH-MINISTRYSERVICECENTER - Ascension Health Ministry Service Center
15305,12.109.85.0,JDBS - JD Byrider Systems Inc
15307,12.109.96.0,TMH-WV-NET - HERBERT J. THOMAS MEMORIAL HOSPITAL ASSOCIATION
15311,12.109.109.0,CASS-COL - CASS INFORMATION SYSTEMS
15313,12.109.121.0,"ASHMHATT0001 - The Harrison Memorrial Hospital, Inc."
15325,12.110.188.0,"TOPOCEAN-LAX1 - Topocean Consolidation Service (Los Angeles), Inc."
15330,12.110.201.0,GISX - Global Imaging Systems Inc
15339,12.111.19.0,MCUNY-01 - Municipal Credit Union of NY
15341,12.111.52.0,TEREX-CORPORATION - TEREX CORPORATION
15469,12.120.244.0,"EASYLINK1 - AT&T Services, Inc."
15490,12.129.5.0,TIDEWORKS - Tideworks Technology
15519,12.129.160.0,"OSAM - O'Shaughnessy Asset Management, LLC"
15523,12.129.168.0,"AEROHIVE - Aerohive Networks, Inc."
15525,12.129.172.0,"GTCR-300NL-1 - GTCR Golder Rauner, LLC"
15549,12.130.32.0,AS-SAFETY-INSURANCE2 - Safety Insurance Company
15677,12.132.22.0,HUNTSVILLE-MEMORIAL-HOSPITAL - HUNTSVILLE MEMORIAL HOSPITAL
15693,12.132.170.0,"DAILY-MANAGEMENT - Daily Management, Inc."
15695,12.133.6.0,SEHEALTH-INTERNET - Southeast Health
15703,12.133.45.0,"MAINSTREAM-TECHNOLOGIES-LRDC - Mainstream Technologies, Inc."
15714,12.133.254.0,CNETOKC - CNET Inc.
15730,12.139.78.0,CITY-OF-LATHROP - City of Lathrop
15734,12.139.83.0,"CBSBANK - CB&S Bank, Inc."
15742,12.139.121.0,"FLAG-ORG - CHURCH OF SCIENTOLOGY FLAG SERVICE ORGANIZATION, INC."
15748,12.144.20.0,DUANE-MORRIS-PHILADELPHIA - Duane Morris
15795,12.146.203.0,"SMRH-AS - Sheppard, Mullin, Richter & Hampton"
